sample_id	cluster_id	size	mean	std
PD056_F0_1636_pyclone	57	22	0.24437893285759177	0.020860548857134047
PD056_56_T_pyclone	57	22	0.23300872543169127	0.012548795207857134
PD056_F2_1709_pyclone	58	1	0.5951604542792545	0.2276770331799414
PD056_F0_1636_pyclone	58	1	0.5217450621842689	0.2588835971944512
PD056_56_T_pyclone	58	1	0.21352404103320222	0.11298053988448029
PD056_F2_1709_pyclone	59	1	0.5764803034891176	0.23389479309434663
PD056_F0_1636_pyclone	59	1	0.5416055276837367	0.27578782913215866
PD056_56_T_pyclone	59	1	0.14591611748182087	0.07931303282898602
PD056_F2_1709_pyclone	60	1	0.5403346006287527	0.25672467234206076
PD056_F0_1636_pyclone	60	1	0.530034543866788	0.2593762905718889
PD056_56_T_pyclone	60	1	0.21185690757308417	0.11836953845063898
PD056_F2_1709_pyclone	61	1	0.4427821986976013	0.2834444178562072
PD056_F0_1636_pyclone	61	1	0.16630632858620628	0.19834506907829114
PD056_56_T_pyclone	61	1	0.3615441080659762	0.1956268264458062
PD056_F2_1709_pyclone	62	1	0.4953099670988198	0.2730826657702315
PD056_F0_1636_pyclone	62	1	0.5352521120645206	0.25396633984738776
PD056_56_T_pyclone	62	1	0.27320163181729745	0.1403670964562951
PD056_F2_1709_pyclone	63	1	0.25582888186071173	0.21497086408969773
PD056_F0_1636_pyclone	63	1	0.10668842413160474	0.13353578827431964
PD056_56_T_pyclone	63	1	0.18549254715706115	0.10926834811634918
PD056_F2_1709_pyclone	64	1	0.5452258110337489	0.24939570884131818
PD056_F0_1636_pyclone	64	1	0.5653544207258102	0.24288322412862812
PD056_56_T_pyclone	64	1	0.03333872425824824	0.0434151784082943
PD056_F2_1709_pyclone	65	1	0.5027914016704687	0.2808090137482445
PD056_F0_1636_pyclone	65	1	0.5129872194781495	0.2876754999833047
PD056_56_T_pyclone	65	1	0.14805295167156163	0.09866200510722903
PD056_F2_1709_pyclone	66	1	0.5159813577519654	0.27136617432910115
PD056_F0_1636_pyclone	66	1	0.35462556269745976	0.24659680481345864
PD056_56_T_pyclone	66	1	0.23520782855387445	0.12727654484634768
PD056_F2_1709_pyclone	67	1	0.4605943723549394	0.25107864578818334
PD056_F0_1636_pyclone	67	1	0.3045141114737371	0.21006228824314613
